biome * ffffff ffffff ffffff
biome 166 ffffff 79c05a 59ae30
biome 167 ffffff 80b497 60a17b
biome 168 ffffff 88b977 6aa755
biome 169 ffffff 61c64b 3bb61e
biome 170 ffffff 80b497 60a17b
biome 171 ffffff aa8a4e b5a353
biome 172 ffffff b9b953 a7a529
biome 173 ffffff a3e053 a3e053
biome 174 ffd932 8baf6b b0e088
biome 175 ffffff 92b77a 77a458
biome 176 ffffff d8935f dae579
biome 177 ffffff 9fb771 c9ce65
biome 178 ffffff c9c17f b2c67f
biome 179 ffffff a9ba64 a9ba64
biome 180 ffffff c0d85d 77ab2f
biome 181 ffffff a3ffaa a3ffaa
biome 182 ffffff 91b971 76a64e
biome 183 ffffff 80b497 60a17b
biome 184 0e6a35 94b77a 79a359
biome 185 ffffff bca165 bca165
biome 186 ffffff aa8a4e b5a353
biome 187 a2ad51 66704c 66704c
biome 188 ff0000 b9b953 a7a529
biome 189 ffffff c1b749 c4c93a
biome 190 ffffff b9b953 a7a529
biome 191 ffffff bac481 ceb979
biome 192 ffffff 83bd65 65ab3e
biome 193 ffffff abd6bc abd6bc
biome 194 00ff2e f0f970 a9fb6a
biome 195 ffffff 74d374 66e266
biome 196 ffffff 80b497 60a17b
biome 197 ffffff 7fdb7d 7fdb7d
biome 198 ffffff 517f51 619961
biome 199 ffffff cec577 aec681
biome 200 ffffff 8eb971 71a74d
biome 201 ffffff 86bb6f 68a94a
biome 202 ffffff 80b497 60a17b
biome 203 ffffff 7ca568 8acc6a
biome 204 ffffff a2ba5d 8ba835
biome 205 ffffff 6dc257 48b22c
biome 206 ffffff 6ac44e 45b421
biome 207 ffffff 8eb971 71a74d
biome 208 ffffff 88b977 6aa755
biome 209 ffffff b2b952 9fa726
biome 210 ffffff 86b688 67a369
biome 211 ffffff 7fbc6d 60aa48
biome 212 ffffff 63b26d 63b26d
biome 213 ffffff b9b953 a7a529
biome 214 588276 619365 619365
biome 215 ffffff 9cb774 83a352
biome 216 ff107a 69cfdb 70e099
biome 217 ffffff 73c447 50b41a
biome 218 1e1b26 3f4151 3f4151
biome 219 ffffff d5ff6d d5ff6d
biome 220 ffffff a2ff5f 3aff00
biome 221 ffffff adb861 9aa539
biome 222 ffffff c8e84a c8e84a
biome 223 383d6b 80b497 60a17b
biome 224 ffffff c8e580 ade07b
biome 225 cc5100 9e8b69 9e8b69
biome 226 ffffff 1ad86c 14e26f
biome 227 ffffff 91bd59 77ab2f
biome 228 ffffff 00995b 00995b
biome 229 ffffff b2b952 9fa726
biome 230 ffffff b9b953 a7a529
biome 231 ffffff bec44c b3c442
biome 232 ffffff 647f38 789643
biome 233 ffffff 91bd59 77ab2f
biome 234 ffffff a4b76e 8ca44a
biome 235 af9200 746429 919134
biome 236 ffffff 83bd65 65ab3e
biome 237 ffffff ccab5f ccab5f
biome 238 ffffff b6d367 bbdd63
biome 239 ffffff 9cb96d 84a648
biome 240 ffffff a6ad66 a89b59
biome 241 5dff00 a7e140 88e140
biome 242 ffffff 47cd33 1abf00
biome 243 ffffff ad8456 bf664e
biome 244 ffffff b9b953 a7a529
biome 245 e5ff00 9da078 999e55
biome 246 636084 5a935f 4f9657
biome 247 ffffff a6bb4e 91a922
biome 248 ffffff 91bd59 77ab2f
biome 249 ffffff b9b953 a7a529
biome 250 ffffff 79c05a 59ae30
biome 251 ffffff 82b593 63a277
biome 252 e0ff70 5c694e 496137
biome 253 ffffff 8ab689 6da36b
biome 254 4fff3f 62a03b 6bbc3c
biome 255 ffffff 80b497 60a17b
blocktype * * normal
blocktype 2 * grass
blocktype 8 * water
blocktype 9 * water
blocktype 18 * leaves
blocktype 18 1 opaque
blocktype 18 2 opaque
blocktype 31 * grass
blocktype 106 * foliage
blocktype 169 * grass
blocktype 1920 * grass
blocktype 1923 * opaque
blocktype 1924 * opaque
blocktype 1925 * foliage
blocktype 1926 * opaque
blocktype 1932 * foliage
blocktype 1962 * leaves
blocktype 2164 * leaves
blocktype 2177 * leaves
blocktype 2200 * opaque
blocktype 2204 * leaves
blocktype 3257 * opaque
blocktype 3258 * opaque
blocktype 3259 * leaves
blocktype 3272 * opaque
blocktype 3278 * opaque
block * * 00000000
block 1 * ff7d7d7d
block 2 * ff939393
block 3 * ff866043
block 3 1 ff886143
block 3 2 ff775439
block 3 3 ff8c6749
block 3 4 ff845e41
block 3 5 ff6e4e36
block 3 6 ff6e4e36
block 3 7 ff815c3e
block 3 8 ff8e6543
block 3 9 ff8e6543
block 3 12 ff835d3f
block 3 13 ff7f5a3d
block 3 14 ff7c007c
block 3 15 ff7c007c
block 4 * ff7a7a7a
block 4 1 ff727272
block 4 2 ff7c7c7c
block 4 3 ff757575
block 4 5 ff7c7c7c
block 4 6 ff808080
block 4 7 ff7f7f7f
block 4 8 ff7f7f7f
block 4 9 ff726a63
block 4 10 ff8c8c8c
block 4 11 ff777777
block 4 13 ff767676
block 4 14 ff9b9b9b
block 4 15 ff797979
block 5 * ff9c7f4e
block 5 1 ff674d2e
block 5 2 ffc3b37b
block 5 3 ff9a6e4d
block 6 * 6b769654
block 6 0 6b476625
block 6 1 53333a21
block 6 3 55305612
block 6 4 6b476625
block 6 5 53333a21
block 6 7 55305612
block 6 8 6b476625
block 6 9 53333a21
block 6 11 55305612
block 6 12 6b476625
block 6 13 53333a21
block 6 15 55305612
block 7 * ff535353
block 8 * b32f43f4
block 9 * b32f43f4
block 10 * ffd2530e
block 11 * ffd2530e
block 12 * ffdbd3a0
block 13 * ff7e7c7a
block 14 * ff8f8b7c
block 15 * ff87827e
block 16 * ff737373
block 17 * ff9a7d4d
block 17 4 ff665131
block 17 5 ff2d1c0c
block 17 6 ffcecec9
block 17 7 ff57431a
block 17 8 ff665131
block 17 9 ff2d1c0c
block 17 10 ffcecec9
block 17 11 ff57431a
block 17 12 ff665131
block 17 13 ff2d1c0c
block 17 14 ffcecec9
block 17 15 ff57431a
block 18 * ff878787
block 18 1 ff2c452c
block 18 2 ff43582d
block 18 3 ff918e86
block 18 5 ff747474
block 18 7 ff918e86
block 18 9 ff747474
block 18 11 ff918e86
block 18 13 ff747474
block 18 15 ff918e86
block 19 * ffb6b639
block 20 0 46daf0f4
block 20 1 49839093
block 20 2 a5740d0a
block 20 3 78684c31
block 20 4 8b464749
block 20 5 6f827c67
block 20 6 3b818e92
block 20 7 db5b5d5f
block 20 8 7f272727
block 20 9 6f75766d
block 20 10 73525456
block 20 11 6f616565
block 20 12 188a979c
block 20 13 bf5a5c5f
block 20 14 6f6e6d6f
block 20 15 ab505154
block 21 * ff667086
block 22 * ff7c007c
block 22 0 ff264389
block 22 1 ff0e1880
block 22 2 ff01258a
block 22 3 ff001b7d
block 22 4 ff2d5188
block 22 5 ff003392
block 22 6 ff1537a9
block 22 7 ff003ea4
block 22 8 ff464f6c
block 23 * ff606060
block 23 1 ff565656
block 23 9 ff565656
block 24 * ffdad29e
block 24 4 ffd5ce9e
block 24 5 ffd5ce9e
block 24 6 ffd5ce9e
block 24 7 ffd5ce9e
block 24 12 ffd3cc9d
block 24 13 ffcfc99c
block 24 14 ffcdc79c
block 24 15 ffd1ca9c
block 25 * ff644332
block 26 * ffaf7474
block 26 0 ff8e1616
block 26 1 ff8e1616
block 26 2 ff8e1616
block 26 3 ff8e1616
block 26 4 ff8e1616
block 26 5 ff8e1616
block 26 6 ff8e1616
block 26 7 ff8e1616
block 27 * ab9a6846
block 27 0 ab846c48
block 27 1 ab846c48
block 27 2 ab846c48
block 27 3 ab846c48
block 27 4 ab846c48
block 27 5 ab846c48
block 27 6 ab846c48
block 27 7 ab846c48
block 28 * 9b895c50
block 28 0 9b786559
block 28 1 9b786559
block 28 2 9b786559
block 28 3 9b786559
block 28 4 9b786559
block 28 5 9b786559
block 28 6 9b786559
block 28 7 9b786559
block 29 * ff6a665f
block 29 0 ff606060
block 29 1 ff8d9263
block 29 6 ff8d9263
block 29 7 ff8d9263
block 29 8 ff606060
block 29 9 ff606060
block 29 14 ff8d9263
block 29 15 ff8d9263
block 30 * 68dcdcdc
block 31 * 517b4f19
block 31 1 a2747474
block 31 2 4e787878
block 32 * 517b4f19
block 33 * ff6a665f
block 33 0 ff606060
block 33 1 ff998159
block 33 6 ff998159
block 33 7 ff998159
block 33 8 ff606060
block 33 9 ff606060
block 33 14 ff998159
block 33 15 ff998159
block 34 * ff6a665f
block 34 0 ff998159
block 34 1 ff998159
block 34 8 ff998159
block 34 9 ff8d9263
block 35 0 ffdddddd
block 35 1 ffdb7d3e
block 35 2 ffb350bc
block 35 3 ff6a8ac9
block 35 4 ffb1a627
block 35 5 ff41ae38
block 35 6 ffd08499
block 35 7 ff404040
block 35 8 ff9aa1a1
block 35 9 ff2e6e89
block 35 10 ff7e3db5
block 35 11 ff2e388d
block 35 12 ff4f321f
block 35 13 ff35461b
block 35 14 ff963430
block 35 15 ff191616
block 36 * ff998159
block 37 * 60ffff00
block 38 * 60ff0000
block 39 * 198a6953
block 40 * 21c33538
block 41 * ffad9857
block 41 0 fff9ec4e
block 41 1 ffac9a60
block 41 4 ffac9a60
block 41 5 ffa0894c
block 41 6 ffa18948
block 41 9 ffb49757
block 41 10 ffae9255
block 41 11 ffab985e
block 41 12 ff37272b
block 41 13 ff322c1b
block 41 14 ffac9a60
block 41 15 ff7c007c
block 42 * ff909090
block 42 0 ffdbdbdb
block 42 1 ff919191
block 42 3 ff878888
block 42 4 ff888888
block 42 5 ff7f8080
block 42 6 ff7a7c7c
block 42 7 ff757575
block 42 8 ff747474
block 42 11 ff898a8a
block 42 12 ff332b3f
block 42 13 ff2e2f2f
block 42 14 ff616262
block 42 15 ff888989
block 43 * ff7a7a7a
block 43 0 ff9f9f9f
block 43 1 ffdad29e
block 43 2 ff9c7f4e
block 43 4 ff926356
block 43 6 ff2c161a
block 43 7 ffece9e2
block 43 8 ff9f9f9f
block 43 9 ffdad29e
block 43 10 ff9c7f4e
block 43 12 ff926356
block 43 14 ff2c161a
block 43 15 ffece9e2
block 44 * ff7a7a7a
block 44 0 ff9f9f9f
block 44 1 ffdad29e
block 44 2 ff9c7f4e
block 44 4 ff926356
block 44 6 ff2c161a
block 44 7 ffece9e2
block 44 8 ff9f9f9f
block 44 9 ffdad29e
block 44 10 ff9c7f4e
block 44 12 ff926356
block 44 14 ff2c161a
block 44 15 ffece9e2
block 45 * ff926356
block 46 * ff82412f
block 47 * ff9c7f4e
block 48 * ff677967
block 49 * ff210d26
block 49 0 ff14121d
block 49 1 ff1e0c27
block 49 2 ff220e2c
block 49 3 ff1e0426
block 49 4 ff1c0924
block 49 5 ff180322
block 49 6 ff1f0924
block 49 7 ff16031b
block 49 8 ff1e0525
block 49 9 ff16031c
block 49 10 ff15021b
block 49 11 ff1a0520
block 49 12 ff15021a
block 49 14 ff26162c
block 50 * 13826a3a
block 51 * 94cb7820
block 52 * 9b1a2731
block 53 * ff9c7f4e
block 54 * ff9c7f4e
block 55 * 35efefef
block 56 * ff818c8f
block 57 * ff7c007c
block 57 0 ff61dbd5
block 57 1 ff8699a1
block 57 2 ff899ca3
block 57 3 ff7d8b90
block 57 4 ff19102a
block 57 5 ff191b1c
block 57 6 ff788d96
block 57 7 ff776e7a
block 57 8 ff8097a3
block 57 9 ff91aab7
block 57 10 ff7f97a4
block 57 11 ff8092a0
block 57 12 ff9a9a83
block 58 * ff6b472a
block 59 * a6566607
block 59 0 0500b312
block 59 1 1312ac0f
block 59 2 2b1c890b
block 59 3 4d258b08
block 59 4 672e8007
block 59 5 80427b07
block 59 6 8e507607
block 60 * ff4b280d
block 60 0 ff734b2d
block 61 * ff606060
block 62 * ff606060
block 63 * ff9c7f4e
block 64 * ff866532
block 65 * 8f795f34
block 66 * 6b786b56
block 66 0 8f796c58
block 66 1 8f796c58
block 66 2 8f796c58
block 66 3 8f796c58
block 66 4 8f796c58
block 66 5 8f796c58
block 67 * ff7a7a7a
block 68 * ff9c7f4e
block 69 * 136a5940
block 70 * ff7d7d7d
block 71 * ffa3a3a3
block 72 * ff9c7f4e
block 73 * ff846b6b
block 74 * ff846b6b
block 75 * 135d3e26
block 76 * 19a74b29
block 77 * ff7d7d7d
block 78 * ffeffbfb
block 79 * c7aabed9
block 79 0 9f7dadff
block 79 1 c4b1c8e1
block 79 2 c7a7bbd6
block 79 3 c7bdc7dc
block 79 4 c7aabed8
block 79 5 c7a8bcd7
block 79 7 c7aabdd8
block 79 8 c7a6bad6
block 79 9 c7afc1d9
block 79 10 c78a9db7
block 79 13 c7879ab3
block 79 14 c7b1c2d9
block 79 15 c795a8c1
block 80 * ffeffbfb
block 81 * c30d6318
block 82 * ff9ea4b0
block 83 * 8c94c065
block 84 * ff6b4937
block 85 * ff9c7f4e
block 86 * ffc07615
block 87 0 ff6f3634
block 87 1 ff733a30
block 87 2 ff662b22
block 87 3 ff5b312e
block 87 4 ff061456
block 87 5 ff030d53
block 87 6 ff6c3e3c
block 87 7 ff6d3534
block 87 8 ff804744
block 87 9 ff654938
block 87 10 ff985c56
block 87 11 ffa75149
block 87 12 ff75342f
block 87 13 ff48201e
block 87 14 ff67061b
block 87 15 ff7c007c
block 88 * ff544033
block 89 * ff836f3b
block 89 0 ff8f7645
block 89 1 ff8f7c40
block 89 3 ff94885e
block 89 4 ffe5dcc1
block 89 5 ff97834b
block 89 6 ff87723a
block 89 7 ff836d33
block 89 8 ff988248
block 89 9 ff7a6639
block 89 10 ff64552d
block 89 11 fe9d8d5d
block 89 12 ffa3956c
block 89 14 ff635329
block 89 15 ff63542d
block 90 * bf580ac0
block 91 * ffc07615
block 92 * c3e4cdce
block 93 * ff979393
block 94 * ffa09393
block 96 * db7e5d2d
block 97 * ff7d7d7d
block 97 1 ff7a7a7a
block 97 2 ff7a7a7a
block 98 * ff7a7a7a
block 98 1 ff72776a
block 98 2 ff767676
block 98 3 ff767676
block 99 * ff8d6a53
block 99 0 ffcaab78
block 99 10 ffcaab78
block 99 11 ffcaab78
block 99 12 ffcaab78
block 99 13 ffcaab78
block 99 15 ffcfccc2
block 100 * ffb62524
block 100 0 ffcaab78
block 100 10 ffcaab78
block 100 11 ffcaab78
block 100 12 ffcaab78
block 100 13 ffcaab78
block 100 15 ffcfccc2
block 101 * ff7c007c
block 101 0 736d6c6a
block 101 1 0b5b5958
block 101 2 0b73716e
block 101 3 1f83817f
block 101 4 05a3a4a4
block 101 5 bf5a5c5f
block 101 6 1f626164
block 101 7 1f595a5c
block 101 8 0b5b5958
block 101 9 0b646463
block 102 * ff7c007c
block 102 0 1fd3eff4
block 102 1 1f818e92
block 102 2 1f818f92
block 102 3 7f272727
block 102 12 1f730d0a
block 102 13 1fefbe43
block 102 14 1f523419
block 102 15 1f523419
block 103 * ff979924
block 104 0 22009900
block 104 1 22139402
block 104 2 22268f04
block 104 3 22398a07
block 104 4 224c8509
block 104 5 2260810c
block 104 6 22737c0e
block 104 7 22867710
block 104 8 22007213
block 104 9 22136d15
block 104 10 22266918
block 104 11 2239641a
block 104 12 224c5f1c
block 104 13 22605a1f
block 104 14 22735521
block 104 15 22865124
block 105 0 22009900
block 105 1 22139402
block 105 2 22268f04
block 105 3 22398a07
block 105 4 224c8509
block 105 5 2260810c
block 105 6 22737c0e
block 105 7 22867710
block 105 8 22007213
block 105 9 22136d15
block 105 10 22266918
block 105 11 2239641a
block 105 12 224c5f1c
block 105 13 22605a1f
block 105 14 22735521
block 105 15 22865124
block 106 * 8a6f6f6f
block 107 * ff9c7f4e
block 108 * ff926356
block 109 * ff7a7a7a
block 110 * ff6f6369
block 111 * 930e3b16
block 112 0 ff2c161a
block 112 1 ff0f1b56
block 112 2 ff633129
block 112 3 ff76423c
block 112 4 ff624736
block 112 5 ff5b4035
block 112 6 ff462b4d
block 112 7 ff623c0b
block 112 8 ff472111
block 112 9 ff7d5a46
block 112 10 ff8c564d
block 112 11 ff994e44
block 112 12 ff8a3d37
block 112 13 ff683938
block 112 14 ff502420
block 112 15 ff482522
block 113 * ff2c161a
block 114 * ff2c161a
block 115 * cc6f1211
block 115 0 2a6a0e1e
block 115 1 786c0f16
block 115 2 786c0f16
block 116 * ff67403b
block 117 * 767c6751
block 118 * 6f454545
block 119 * bf580ac0
block 120 * ff597560
block 121 * ffdddfa5
block 122 * ff0c090f
block 123 0 ff313131
block 123 1 ff050505
block 123 2 ff220908
block 123 3 ff0b0f04
block 123 4 ff0f0904
block 123 5 ff07091c
block 123 6 ff170924
block 123 7 ff07161d
block 123 8 ff202020
block 123 9 ff0c0c0c
block 123 10 ff29181d
block 123 11 ff0c2709
block 123 12 ff2a2708
block 123 13 ff131a28
block 123 14 ff251027
block 123 15 ff462b1a
block 124 0 ff646464
block 124 1 ff0b0a0a
block 124 2 ff461311
block 124 3 ff171f0a
block 124 4 ff1f120a
block 124 5 ff0e1339
block 124 6 ff30124a
block 124 7 ff0f2e3b
block 124 8 ff434343
block 124 9 ff1a1a1a
block 124 10 ff54323b
block 124 11 ff195014
block 124 12 ff575110
block 124 13 ff283552
block 124 14 ff4c2050
block 124 15 ff775937
block 125 * ff9c7f4e
block 125 1 ff674d2e
block 125 2 ffc3b37b
block 125 3 ff9a6e4d
block 125 9 ff674d2e
block 125 10 ffc3b37b
block 125 11 ff9a6e4d
block 126 * ff9c7f4e
block 126 1 ff674d2e
block 126 2 ffc3b37b
block 126 3 ff9a6e4d
block 126 9 ff674d2e
block 126 10 ffc3b37b
block 126 11 ff9a6e4d
block 127 * 8391501e
block 128 * ffdad29e
block 129 * ff6d8074
block 130 * ff14121d
block 131 * 2d8a8171
block 132 * 08818181
block 133 * ff7c007c
block 133 0 ff51d975
block 133 1 ff447a09
block 133 2 ff396b05
block 133 3 ff417d01
block 133 4 ff295301
block 133 5 ff5e6b1e
block 133 6 ff436c19
block 133 7 ff6a9f31
block 133 8 ff639929
block 133 9 ff69a12d
block 133 10 ff6da233
block 133 11 ff5b8a28
block 134 * ff674d2e
block 135 * ffc3b37b
block 136 * ff9a6e4d
block 137 * ffb2896f
block 138 * ff74ddd7
block 139 * ff7a7a7a
block 139 1 ff677967
block 140 * 31764133
block 141 * 6f158002
block 141 0 0901ab10
block 141 1 0901ab10
block 141 2 1701bb0f
block 141 3 1701bb0f
block 141 4 3600be10
block 141 5 3600be10
block 141 6 3600be10
block 142 * 6922aa24
block 142 0 0901ab10
block 142 1 0901ab10
block 142 2 1701bb0f
block 142 3 1701bb0f
block 142 4 3600be10
block 142 5 3600be10
block 142 6 3600be10
block 143 * ff9c7f4e
block 144 * ff544033
block 145 * ff404040
block 146 * ff9c7f4e
block 147 * fff9ec4e
block 148 * ffdbdbdb
block 149 * ff9c9695
block 149 8 ffa59594
block 149 9 ffa59594
block 149 10 ffa59594
block 149 11 ffa59594
block 149 12 ffa59594
block 149 13 ffa59594
block 149 14 ffa59594
block 149 15 ffa59594
block 150 * ffa59594
block 151 * ff82745e
block 152 0 ffab1b09
block 152 1 ffad0000
block 152 2 ffb40900
block 152 3 ffae0a00
block 152 4 ffb20a00
block 152 5 ffa10300
block 152 6 ffa70200
block 152 7 ff890100
block 152 8 ffb90001
block 152 9 ffaf0300
block 152 10 ff840100
block 152 11 ff9d0100
block 152 12 ffa30801
block 152 13 ffb50300
block 152 14 ff7f0501
block 152 15 ff8e0601
block 153 * ff7d544f
block 154 * 6f454545
block 155 * ffece9e2
block 155 1 ffe7e4db
block 155 2 ffe8e5dd
block 155 3 ffe7e3db
block 155 4 ffe7e3db
block 156 * ffece9e2
block 157 * 9b8d5146
block 157 0 9b685347
block 157 1 9b685347
block 157 2 9b685347
block 157 3 9b685347
block 157 4 9b685347
block 157 5 9b685347
block 157 6 9b685347
block 157 7 9b685347
block 158 * ff606060
block 158 1 ff565656
block 158 9 ff565656
block 159 0 ffd1b2a1
block 159 1 ffa15325
block 159 2 ff95586c
block 159 3 ff716c89
block 159 4 ffba8523
block 159 5 ff677534
block 159 6 ffa14e4e
block 159 7 ff392a23
block 159 8 ff876a61
block 159 9 ff565b5b
block 159 10 ff764656
block 159 11 ff4a3b5b
block 159 12 ff4d3323
block 159 13 ff4c532a
block 159 14 ff8f3d2e
block 159 15 ff251610
block 160 * ff493527
block 160 1 ffe0c687
block 161 * ff5c533b
block 162 * ffc36539
block 162 1 ffc36a42
block 162 2 ffcf6d41
block 163 * ff2c2c2c
block 164 * ff555555
block 165 * ffafbad6
block 166 * ff75b049
block 167 * ff90673b
block 168 * ffae966a
block 169 * ff614131
block 169 0 ff66da9a
block 170 * ff9d7412
block 170 0 ffa88b10
block 170 1 ffa88b10
block 170 2 ffa88b10
block 170 3 ffa88b10
block 171 0 ffdddddd
block 171 1 ffdb7d3e
block 171 2 ffb350bc
block 171 3 ff6a8ac9
block 171 4 ffb1a627
block 171 5 ff41ae38
block 171 6 ffd08499
block 171 7 ff404040
block 171 8 ff9aa1a1
block 171 9 ff2e6e89
block 171 10 ff7e3db5
block 171 11 ff2e388d
block 171 12 ff4f321f
block 171 13 ff35461b
block 171 14 ff963430
block 171 15 ff191616
block 172 * ff965c42
block 173 * ff121212
block 174 * ffa73e3c
block 195 * ffede5c0
block 196 * ffcc8a00
block 197 * ffe8dbab
block 198 * ff826042
block 199 0 ff7b7d68
block 199 1 ffcc8d08
block 199 2 ffe9e1bc
block 199 3 ffd7cea6
block 199 4 ff796f64
block 199 5 ffe9e1bc
block 200 * ff5b4d3c
block 200 1 ff867c43
block 201 * ff3a3054
block 201 1 ff378e53
block 202 * ff7d7b6e
block 202 1 ff6e797d
block 217 * ff0b0a0b
block 220 * ff150303
block 241 * ff14121d
block 247 * ff393635
block 247 0 ff749281
block 247 1 ffb7b188
block 247 2 ff5f5e5c
block 248 * ff6c6651
block 249 * ffb13609
block 250 0 ff441d30
block 250 1 ff211131
block 250 2 ff4d2e5e
block 251 * ffa55f3e
block 251 0 ffab5b30
block 251 1 ff9b5133
block 252 * ff4a7c49
block 253 * ff44695f
block 254 * ffbababa
block 254 1 ffd5d5d5
block 254 2 ffd8d8d8
block 254 3 ffa4b2a9
block 255 * ff697c83
block 410 * ffdbdbdb
block 411 * ffdbdbdb
block 412 * ff4a4431
block 413 0 ff241a0b
block 413 4 ff3b3725
block 413 8 ff3b3725
block 413 12 ff3b3725
block 414 * ff040404
block 414 1 ff060606
block 414 2 ff030808
block 414 3 ff030804
block 414 4 ff090903
block 414 5 ff080808
block 414 6 ff010205
block 414 7 ff090808
block 414 8 ff020202
block 414 9 ff090909
block 414 10 ff060403
block 414 11 ff010205
block 424 * ff2d262c
block 425 * ff3d2e29
block 450 0 ffc5c5da
block 450 1 ff1c1c1c
block 450 2 ff979797
block 450 3 ff676576
block 451 * ff535353
block 452 * ffc5c5da
block 453 * ff606060
block 453 1 ff5e5e5e
block 453 2 ff656565
block 453 3 ff656565
block 453 5 ff5e5e5e
block 453 6 ffb7b7b7
block 453 7 ffb7b7b7
block 455 0 20405600
block 455 1 413c5200
block 455 2 49425a00
block 455 3 68395700
block 455 4 76315800
block 455 5 88225700
block 455 6 8c135600
block 455 7 ac055800
block 455 8 b4045a08
block 455 9 d1196308
block 456 0 87292929
block 456 1 87292929
block 456 2 87292929
block 456 3 87292929
block 456 4 ff282828
block 457 0 a500c5fe
block 457 1 a500c5fe
block 457 2 a500c5fe
block 457 3 a500c5fe
block 458 * 4f0e001c
block 459 * 4f0e001c
block 461 * ffdad29e
block 461 0 ff423c3e
block 461 1 ff9d7b54
block 461 2 ff909090
block 461 3 ffeffbfb
block 461 4 9f7dadff
block 461 5 ff7a7a7a
block 461 6 ff72776a
block 461 7 ff767676
block 461 8 ff767676
block 461 9 ff2c161a
block 461 10 ff926356
block 461 14 ff14121d
